City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3,MortalityRate_per_100k
abbeville,FR,4.7,8.8,4.7,36.8,0.8,210.3,1.3,4.1
acarau,BR,2.1,9.6,0.2,52.2,0.1,353.8,0.1,9.6
agbor,NG,29.9,39.2,5.7,2.5,0.4,894.6,0.6,29.6
al jawf,SA,11.1,39.2,1.0,101.6,1.7,193.6,0.5,33.5
al qusayr,SY,7.9,10.0,4.7,40.8,2.5,210.3,2.7,26.6
alaghsas,NE,63.9,271.8,0.0,53.6,0.0,196.9,0.0,34.1
albany,US,2.1,2.6,12.8,24.7,0.1,253.7,0.1,5.7
alice springs,AU,14.5,61.3,0.1,50.1,0.0,283.7,0.2,3.2
aliveri,GR,1.1,4.3,0.4,78.0,0.2,200.3,0.2,9.8
alliance,US,13.4,16.2,21.9,24.3,0.5,367.2,0.6,5.7
almeirim,BR,1.0,2.4,0.1,26.8,0.1,343.8,0.0,9.6
alotau,PG,1.6,2.1,0.1,34.7,0.1,207.0,0.0,12.4
alta,NO,0.5,0.5,0.4,41.5,0.0,210.3,0.0,3.6
amahai,ID,0.9,1.1,0.6,24.0,0.1,283.7,0.0,20.4
ambikapur,IN,31.6,34.0,0.7,107.3,1.2,454.0,0.7,30.2
ambon,ID,1.1,1.8,0.5,28.2,0.3,270.4,0.1,20.4
amos,CA,2.7,2.8,1.3,62.2,0.7,212.0,0.0,3.4
anadyr,RU,0.7,2.1,0.7,60.8,0.4,223.6,0.0,17.4
ancud,CL,0.6,1.1,0.2,49.4,0.0,240.3,0.2,7.4
angra do heroismo,PT,2.2,10.6,0.3,100.1,0.2,201.9,0.0,4.7
argo,GR,2.5,4.3,0.7,66.5,0.1,205.3,0.3,9.8
arkalyk,KZ,8.1,8.5,2.7,24.3,1.2,233.6,0.0,30.5
