Country,Year,MortalityRate_per_100k
143,2019,0.22559
CHL,2019,10.09045
UNSDG_OCEANIAexAUSNZL,2019,0.13815
WSM,2019,2.01772
AGO,2019,0.11235
35,2019,0.37015
GMB,2019,6.04069
LKA,2019,4.23635
TON,2019,7.0095
NLD,2019,33.5342
AFR,2019,0.10926
34,2019,68.02911
143,2019,0.1113
UNSDG_EUROPENORTHERNAMR,2019,0.38377
AFR,2019,0.18677
UNSDG_LAC,2019,0.02091
JOR,2019,20.42779
LBR,2019,0.11562
RWA,2019,25.77348
EMR,2019,0.15195
EUR,2019,0.31455
IND,2019,64.59501
LBR,2019,10.76975
UNSDG_CENTRALASIASOUTHERNASIA,2019,3.35975
UNSDG_SUBSAHARANAFRICA,2019,0.97512
POL,2019,10.91377
JPN,2019,8.18815
UNSDG_OCEANIAexAUSNZL,2019,0.02938
UNSDG_AUSTRALIANEWZEALAND,2019,3.73856
MNG,2019,2.74453
150,2019,0.36178
202,2019,0.08899
PNG,2019,19.03321
150,2019,0.20614
LKA,2019,6.06036
UNSDG_LAC,2019,1.75309
GEO,2019,4.06449
MYS,2019,19.1304
EMR,2019,0.49092
MWI,2019,3.42385
BEN,2019,16.40273
IRN,2019,3.80978
MLI,2019,5.95965
150,2019,0.01714
WPR,2019,1.08325
SEAR,2019,0.03988
9,2019,1.04663
419,2019,0.00505
UNSDG_WESTERNASIANORTHERNAFR,2019,0.59527
202,2019,1.21082
WB_LIMI,2019,0.04587
AMR,2019,1.79136
CAN,2019,12.46539
143,2019,0.38866
SYR,2019,5.9412
IDN,2019,17.24265
ALB,2019,92.73803
143,2019,0.2647
UNSDG_EUROPENORTHERNAMR,2019,0.01222
KHM,2019,2.33259
30,2019,0.00994
143,2019,0.2708
UNSDG_WESTERNASIANORTHERNAFR,2019,0.37418
AFR,2019,0.04483
GLOBAL,2019,0.02636
WB_HI,2019,1.38862
SEAR,2019,3.43125
UNSDG_WESTERNASIANORTHERNAFR,2019,0.14442
GNB,2019,1.84119
SLE,2019,12.83973
143,2019,1.81072
BRN,2019,0.41969
HRV,2019,87.75269
34,2019,0.05087
GAB,2019,10.43802
BDI,2019,7.19124
30,2019,3.48542
PHL,2019,58.28931
PAK,2019,5.5051
NIC,2019,3.61231
UNSDG_LAC,2019,0.12829
15,2019,0.13962
143,2019,0.22053
WB_LIMI,2019,0.10328
SWE,2019,1.28432
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.03607
BFA,2019,5.38265
35,2019,0.88041
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.78779
30,2019,0.14037
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,1.32913
AMR,2019,0.00201
WB_HI,2019,0.02772
WB_HI,2019,0.04986
FSM,2019,6.26265
IND,2019,8.16679
UNSDG_LAC,2019,0.78
NGA,2019,27.94635
BTN,2019,0.71625
LBN,2019,4.13727
WB_HI,2019,0.63649
BFA,2019,20.6002
EUR,2019,0.06456
UNSDG_WESTERNASIANORTHERNAFR,2019,0.29149
NLD,2019,3.05551
BEL,2019,6.4346
9,2019,0.09524
UNSDG_EUROPENORTHERNAMR,2019,0.16988
202,2019,0.07717
BEN,2019,18.248
35,2019,0.07703
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.13327
WPR,2019,0.25608
AFG,2019,29.89869
GLOBAL,2019,12.22232
IDN,2019,47.52376
QAT,2019,0.40033
CIV,2019,5.16112
EST,2019,4.11894
145,2019,3.02851
JPN,2019,3.00872
WB_HI,2019,2.53445
DEU,2019,5.18825
MMR,2019,1.92409
PRY,2019,4.12242
21,2019,0.00466
UNSDG_OCEANIAexAUSNZL,2019,0.3207
UNSDG_CENTRALASIASOUTHERNASIA,2019,10.69075
21,2019,0.00018
145,2019,0.7843
UNSDG_CENTRALASIASOUTHERNASIA,2019,3.5208
WB_HI,2019,0.05652
SEAR,2019,0.53857
419,2019,0.07815
KIR,2019,1.79925
AFR,2019,0.01954
SEAR,2019,0.00548
21,2019,0.47873
SLB,2019,4.41928
EUR,2019,2.67947
UNSDG_OCEANIAexAUSNZL,2019,0.0107
15,2019,0.1747
419,2019,0.33249
34,2019,0.04788
UNSDG_WESTERNASIANORTHERNAFR,2019,0.45585
LAO,2019,7.19469
WPR,2019,0.60809
CUB,2019,31.15229
202,2019,9.25901
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.05919
ATG,2019,12.72448
UNSDG_LAC,2019,0.37568
YEM,2019,2.45965
419,2019,1.72718
LVA,2019,2.80105
USA,2019,1.26552
AFR,2019,0.58114
419,2019,0.05139
MLI,2019,6.13285
WB_HI,2019,2.19885
AFR,2019,0.08767
21,2019,0.82088
UNSDG_SUBSAHARANAFRICA,2019,0.6693
QAT,2019,3.29036
SAU,2019,24.23896
UNSDG_EUROPENORTHERNAMR,2019,0.68592
AFR,2019,0.11392
UNSDG_AUSTRALIANEWZEALAND,2019,0.01667
ZAF,2019,37.039
EUR,2019,3.49643
9,2019,0.15828
BRB,2019,12.17704
KAZ,2019,15.06003
145,2019,0.08382
UNSDG_OCEANIAexAUSNZL,2019,0.11745
AMR,2019,0.0168
34,2019,0.08643
GNQ,2019,22.67807
UNSDG_WESTERNASIANORTHERNAFR,2019,0.52227
ARG,2019,4.71807
IRL,2019,2.72368
GIN,2019,12.05582
PRY,2019,12.52712
